 ,Image,Region,Area-B,Area-G,Mean-B,Mean-G,IntDen-B,IntDen-G
442,08-DAPI-9-40x-402ms.tif,BL,0.024,0.024,146.2398,2.8688,3.5068,0.0688
443,08-DAPI-9-40x-402ms.tif,BL,0.0348,0.0348,130.4579,1.3801,4.5439,0.0481
444,08-DAPI-9-40x-402ms.tif,BL,0.0226,0.0226,116.8413,1.375,2.637,0.031
445,08-DAPI-9-40x-402ms.tif,BL,0.0105,0.0105,99.6804,1.0619,1.0492,0.0112
446,08-DAPI-9-40x-402ms.tif,BL,0.093,0.093,62.2042,0.5368,5.7844,0.0499
447,08-DAPI-9-40x-402ms.tif,BL,0.052,0.052,108.9353,1.4885,5.6619,0.0774
448,08-DAPI-9-40x-402ms.tif,BL,0.0409,0.0409,130.3236,1.4403,5.3312,0.0589
449,08-DAPI-9-40x-402ms.tif,BL,0.1391,0.1391,94.7559,1.0538,13.1811,0.1466
450,08-DAPI-9-40x-402ms.tif,BL,0.0634,0.0634,84.8408,0.7791,5.3762,0.0494
451,08-DAPI-9-40x-402ms.tif,BL,0.0978,0.0978,100.2797,0.8191,9.8038,0.0801
452,08-DAPI-9-40x-402ms.tif,BL,0.0696,0.0696,124.3573,0.9548,8.6494,0.0664
453,08-DAPI-9-40x-402ms.tif,BL,0.0419,0.0419,108.6218,0.7902,4.5495,0.0331
454,08-DAPI-9-40x-402ms.tif,BL,0.0401,0.0401,123.0459,0.8486,4.94,0.0341
455,08-DAPI-9-40x-402ms.tif,BL,0.0293,0.0293,116.6148,0.7148,3.4164,0.0209
456,08-DAPI-9-40x-402ms.tif,BL,0.1104,0.1104,109.8643,0.6962,12.1237,0.0768
457,08-DAPI-9-40x-402ms.tif,BL,0.049,0.049,122.9115,0.7412,6.0282,0.0363
458,08-DAPI-9-40x-402ms.tif,BL,0.0461,0.0461,127.3929,0.8659,5.8748,0.0399
459,08-DAPI-9-40x-402ms.tif,BL,0.0432,0.0432,126.9849,0.907,5.4839,0.0392
460,08-DAPI-9-40x-402ms.tif,BL,0.014,0.014,102.0388,0.6667,1.4283,0.0093
461,08-DAPI-9-40x-402ms.tif,BL,0.0128,0.0128,93.4322,0.7712,1.1963,0.0099
462,08-DAPI-9-40x-402ms.tif,BL,0.0312,0.0312,122.0625,0.6285,3.8145,0.0196
463,08-DAPI-9-40x-402ms.tif,BL,0.0392,0.0392,128.3823,0.6759,5.0289,0.0265
464,08-DAPI-9-40x-402ms.tif,BL,0.0191,0.0191,129.9773,0.8977,2.4822,0.0171
465,09-DAPI-9-40x-402ms.tif,BL,0.042,0.042,131.2997,0.5736,5.5136,0.0241
466,09-DAPI-9-40x-402ms.tif,BL,0.0295,0.0295,100.7022,0.2059,2.9721,0.0061
467,09-DAPI-9-40x-402ms.tif,BL,0.0205,0.0205,89.254,0.3968,1.8304,0.0081
468,09-DAPI-9-40x-402ms.tif,BL,0.0296,0.0296,95.3407,0.326,2.8242,0.0097
469,09-DAPI-9-40x-402ms.tif,BL,0.0472,0.0472,126.0207,0.6759,5.9482,0.0319
470,09-DAPI-9-40x-402ms.tif,BL,0.0117,0.0117,122.4444,0.6389,1.4349,0.0075
471,09-DAPI-9-40x-402ms.tif,BL,0.0312,0.0312,124.3507,0.6111,3.886,0.0191
472,09-DAPI-9-40x-402ms.tif,BL,0.0262,0.0262,115.5809,0.7469,3.0225,0.0195
473,09-DAPI-9-40x-402ms.tif,BL,0.0271,0.0271,123.576,0.668,3.3522,0.0181
474,09-DAPI-9-40x-402ms.tif,BL,0.0281,0.0281,127.9846,1.0077,3.5968,0.0283
475,09-DAPI-9-40x-402ms.tif,BL,0.0224,0.0224,133.9806,1.568,2.9948,0.035
476,09-DAPI-9-40x-402ms.tif,BL,0.0152,0.0152,61.6714,0.5071,0.9368,0.0077
477,09-DAPI-9-40x-402ms.tif,BL,0.0115,0.0115,115.8679,1.2642,1.3327,0.0145
478,09-DAPI-9-40x-402ms.tif,BL,0.0382,0.0382,129.3011,1.3693,4.9386,0.0523
479,09-DAPI-9-40x-402ms.tif,BL,0.046,0.046,125.5943,0.9245,5.7782,0.0425
480,09-DAPI-9-40x-402ms.tif,BL,0.047,0.047,132.7413,1.3811,6.2367,0.0649
481,09-DAPI-9-40x-402ms.tif,BL,0.0574,0.0574,94.2873,0.8715,5.4121,0.05
482,09-DAPI-9-40x-402ms.tif,BL,0.0113,0.0113,123.5577,1.7692,1.3943,0.02
483,09-DAPI-9-40x-402ms.tif,BL,0.0289,0.0289,122.1504,1.4737,3.5256,0.0425
484,09-DAPI-9-40x-402ms.tif,BL,0.0467,0.0467,130.9163,2.0488,6.1083,0.0956
485,09-DAPI-9-40x-402ms.tif,BL,0.0259,0.0259,132.2887,2.1381,3.4307,0.0554
486,09-DAPI-9-40x-402ms.tif,BL,0.0385,0.0385,130.293,1.7662,5.0189,0.068
487,09-DAPI-9-40x-402ms.tif,BL,0.0298,0.0298,133.0509,1.0873,3.9702,0.0324
488,09-DAPI-9-40x-402ms.tif,BL,0.0222,0.0222,138.8878,1.3659,3.0894,0.0304
489,09-DAPI-9-40x-402ms.tif,BL,0.0256,0.0256,130.2585,0.8475,3.3356,0.0217
490,09-DAPI-9-40x-402ms.tif,BL,0.0115,0.0115,122.7547,1.6415,1.4119,0.0189
491,09-DAPI-9-40x-402ms.tif,BL,0.0263,0.0263,116.0331,1.5826,3.0469,0.0416
492,09-DAPI-9-40x-402ms.tif,BL,0.0449,0.0449,131.4734,2.0217,5.906,0.0908
493,09-DAPI-9-40x-402ms.tif,BL,0.0175,0.0175,124.0124,2.0186,2.1664,0.0353
494,09-DAPI-9-40x-402ms.tif,BL,0.0495,0.0495,129.9452,2.0833,6.4296,0.1031
495,09-DAPI-9-40x-402ms.tif,BL,0.0514,0.0514,128.4789,2.0084,6.608,0.1033
496,09-DAPI-9-40x-402ms.tif,BL,0.045,0.045,139.4289,2.3036,6.2785,0.1037
497,09-DAPI-9-40x-402ms.tif,BL,0.06,0.06,124.642,1.906,7.4791,0.1144
498,09-DAPI-9-40x-402ms.tif,BL,0.0174,0.0174,122.1937,2.025,2.1214,0.0352
499,09-DAPI-9-40x-402ms.tif,BL,0.0294,0.0294,140.2768,2.0554,4.1249,0.0604
500,09-DAPI-9-40x-402ms.tif,BL,0.0357,0.0357,128.3222,1.6869,4.5809,0.0602
501,09-DAPI-9-40x-402ms.tif,BL,0.038,0.038,135.9114,1.7457,5.1616,0.0663
502,09-DAPI-9-40x-402ms.tif,BL,0.0539,0.0539,122.0322,1.4708,6.5809,0.0793
503,09-DAPI-9-40x-402ms.tif,BL,0.0289,0.0289,125.4211,1.7707,3.62,0.0511
504,09-DAPI-9-40x-402ms.tif,BL,0.0314,0.0314,131.7716,2.1384,4.1322,0.0671
505,09-DAPI-9-40x-402ms.tif,BL,0.032,0.032,124.4407,1.6305,3.9833,0.0522
506,09-DAPI-9-40x-402ms.tif,BL,0.0225,0.0225,120.7101,1.6812,2.7113,0.0378
507,09-DAPI-9-40x-402ms.tif,BL,0.023,0.023,136.0943,2.3585,3.1306,0.0543
508,09-DAPI-9-40x-402ms.tif,BL,0.0292,0.0292,130.0446,2.0223,3.7958,0.059
509,09-DAPI-9-40x-402ms.tif,BL,0.0307,0.0307,104.5265,1.2155,3.2097,0.0373
510,09-DAPI-9-40x-402ms.tif,BL,0.0142,0.0142,127.3893,1.6565,1.8108,0.0235
511,09-DAPI-9-40x-402ms.tif,BL,0.05,0.05,124.5857,1.6486,6.232,0.0825
512,09-DAPI-9-40x-402ms.tif,BL,0.0447,0.0447,125.5291,1.3908,5.6118,0.0622
513,09-DAPI-9-40x-402ms.tif,BL,0.0241,0.0241,127.8739,1.3198,3.0803,0.0318
514,09-DAPI-9-40x-402ms.tif,BL,0.0247,0.0247,99.9386,0.9868,2.4724,0.0244
