 ,Image,Region,Area-B,Area-G,Mean-B,Mean-G,IntDen-B,IntDen-G
1,01-DAPI-5-40x-198ms.tif,BL,0.0476,0.0476,99.9089,1.8087,4.7591,0.0862
2,01-DAPI-5-40x-198ms.tif,BL,0.0513,0.0513,124.5708,1.5539,6.3934,0.0798
3,01-DAPI-5-40x-198ms.tif,BL,0.0495,0.0495,113.8618,1.8925,5.6338,0.0936
4,01-DAPI-5-40x-198ms.tif,BL,0.0465,0.0465,83.4709,1.6154,3.8855,0.0752
5,01-DAPI-5-40x-198ms.tif,BL,0.0819,0.0819,82.4132,1.7298,6.7515,0.1417
6,01-DAPI-5-40x-198ms.tif,BL,0.0382,0.0382,98.8097,1.5369,3.774,0.0587
7,01-DAPI-5-40x-198ms.tif,BL,0.0283,0.0283,101.7433,1.7395,2.8814,0.0493
8,01-DAPI-5-40x-198ms.tif,BL,0.0281,0.0281,93.0193,1.6409,2.6141,0.0461
9,01-DAPI-5-40x-198ms.tif,BL,0.0505,0.0505,83.6473,1.4624,4.2205,0.0738
10,01-DAPI-5-40x-198ms.tif,BL,0.0196,0.0196,125.6519,2.8729,2.4678,0.0564
11,01-DAPI-5-40x-198ms.tif,BL,0.0263,0.0263,120.9711,1.9174,3.1765,0.0503
12,01-DAPI-5-40x-198ms.tif,BL,0.0276,0.0276,120.6654,2.2992,3.3256,0.0634
13,01-DAPI-5-40x-198ms.tif,BL,0.0279,0.0279,113.7665,1.716,3.1725,0.0479
14,01-DAPI-5-40x-198ms.tif,BL,0.0229,0.0229,115.1801,1.3839,2.637,0.0317
15,01-DAPI-5-40x-198ms.tif,BL,0.0279,0.0279,111.5992,2.2062,3.1121,0.0615
16,01-DAPI-5-40x-198ms.tif,BL,0.0195,0.0195,124.4889,1.7444,2.4314,0.0341
17,01-DAPI-5-40x-198ms.tif,BL,0.0438,0.0438,121.7302,2.0545,5.3363,0.0901
18,01-DAPI-5-40x-198ms.tif,BL,0.0126,0.0126,102.5259,1.5862,1.2905,0.02
19,01-DAPI-5-40x-198ms.tif,BL,0.0295,0.0295,118.7243,1.7537,3.504,0.0518
20,01-DAPI-5-40x-198ms.tif,BL,0.0217,0.0217,110.54,2.03,2.3989,0.0441
21,01-DAPI-5-40x-198ms.tif,BL,0.0255,0.0255,113.4128,1.8085,2.8919,0.0461
22,01-DAPI-5-40x-198ms.tif,BL,0.035,0.035,111.5108,2.6687,3.9082,0.0935
23,01-DAPI-5-40x-198ms.tif,BL,0.0372,0.0372,120.7755,2,4.495,0.0744
24,01-DAPI-5-40x-198ms.tif,BL,0.0099,0.0099,113.7692,2.3077,1.1234,0.0228
25,01-DAPI-5-40x-198ms.tif,BL,0.0225,0.0225,120.2512,2.5362,2.701,0.057
26,01-DAPI-5-40x-198ms.tif,BL,0.0099,0.0099,90.9341,4.0549,0.8979,0.04
27,01-DAPI-5-40x-198ms.tif,BL,0.018,0.018,123.2952,2.9036,2.2208,0.0523
28,01-DAPI-5-40x-198ms.tif,BL,0.0168,0.0168,122.1613,3.1419,2.0546,0.0528
29,01-DAPI-5-40x-198ms.tif,BL,0.0213,0.0213,121.2347,2.6378,2.5783,0.0561
30,01-DAPI-5-40x-198ms.tif,BL,0.0168,0.0168,87.0968,3.929,1.4648,0.0661
31,01-DAPI-5-40x-198ms.tif,BL,0.015,0.015,118.3768,3.1232,1.7726,0.0468
32,01-DAPI-5-40x-198ms.tif,BL,0.0345,0.0345,120.827,2.3396,4.1692,0.0807
33,01-DAPI-5-40x-198ms.tif,BL,0.0164,0.0164,112.3775,2.7682,1.8413,0.0454
34,01-DAPI-5-40x-198ms.tif,BL,0.025,0.025,118.8304,2.3261,2.9656,0.0581
35,01-DAPI-5-40x-198ms.tif,BL,0.0247,0.0247,117.0965,2.2675,2.8969,0.0561
36,01-DAPI-5-40x-198ms.tif,BL,0.0312,0.0312,120.0729,2.5069,3.7523,0.0783
37,01-DAPI-5-40x-198ms.tif,BL,0.0149,0.0149,111.9343,3.0511,1.664,0.0454
38,01-DAPI-5-40x-198ms.tif,BL,0.0926,0.0926,117.0868,2.9332,10.8371,0.2715
39,01-DAPI-5-40x-198ms.tif,BL,0.0468,0.0468,113.826,2.3828,5.3232,0.1114
40,01-DAPI-5-40x-198ms.tif,BL,0.0146,0.0146,110.437,3.8148,1.6177,0.0559
41,01-DAPI-5-40x-198ms.tif,BL,0.0556,0.0556,104.5938,2.1562,5.8108,0.1198
42,01-DAPI-5-40x-198ms.tif,BL,0.0582,0.0582,108.2407,3.1418,6.2952,0.1827
43,01-DAPI-5-40x-198ms.tif,BL,0.0477,0.0477,117.5182,3.3614,5.6107,0.1605
44,01-DAPI-5-40x-198ms.tif,BL,0.0409,0.0409,111.313,3.0504,4.5535,0.1248
45,01-DAPI-5-40x-198ms.tif,BL,0.037,0.037,116.3226,3.2903,4.304,0.1217
46,01-DAPI-5-40x-198ms.tif,BL,0.0395,0.0395,114.0714,3.1813,4.5054,0.1257
47,01-DAPI-5-40x-198ms.tif,BL,0.0488,0.0488,117.74,1.6644,5.749,0.0813
48,01-DAPI-5-40x-198ms.tif,BL,0.0609,0.0609,124.6078,1.7576,7.5852,0.107
49,01-DAPI-5-40x-198ms.tif,BL,0.0303,0.0303,112.2007,1.7885,3.3967,0.0541
50,01-DAPI-5-40x-198ms.tif,BL,0.0311,0.0311,122.5157,2.7909,3.8153,0.0869
51,01-DAPI-5-40x-198ms.tif,BL,0.0239,0.0239,108.7091,1.9864,2.5951,0.0474
52,01-DAPI-5-40x-198ms.tif,BL,0.0442,0.0442,117.5209,2.1695,5.19,0.0958
53,01-DAPI-5-40x-198ms.tif,BL,0.0382,0.0382,109.0682,2.4489,4.1658,0.0935
54,01-DAPI-5-40x-198ms.tif,BL,0.0315,0.0315,117.1103,2.2931,3.6851,0.0722
55,01-DAPI-5-40x-198ms.tif,BL,0.0353,0.0353,119.7292,1.5908,4.2222,0.0561
56,01-DAPI-5-40x-198ms.tif,BL,0.0132,0.0132,87.5,1.7459,1.1583,0.0231
57,01-DAPI-5-40x-198ms.tif,BL,0.0195,0.0195,102.6889,2.3722,2.0056,0.0463
58,01-DAPI-5-40x-198ms.tif,BL,0.0138,0.0138,122.3937,2.4803,1.6866,0.0342
59,01-DAPI-5-40x-198ms.tif,BL,0.0328,0.0328,117.0232,2.0861,3.8347,0.0684
60,01-DAPI-5-40x-198ms.tif,BL,0.0334,0.0334,120.2013,1.5097,4.0171,0.0505
61,01-DAPI-5-40x-198ms.tif,BL,0.047,0.047,115.4942,2.0485,5.4263,0.0962
62,01-DAPI-5-40x-198ms.tif,BL,0.0501,0.0501,100.0216,1.881,5.0141,0.0943
63,01-DAPI-5-40x-198ms.tif,BL,0.0294,0.0294,118.3985,2.048,3.4816,0.0602
64,01-DAPI-5-40x-198ms.tif,BL,0.0669,0.0669,107.3128,1.9806,7.1845,0.1326
65,01-DAPI-5-40x-198ms.tif,BL,0.0626,0.0626,79.4177,1.5511,4.9722,0.0971
66,01-DAPI-5-40x-198ms.tif,BL,0.0509,0.0509,100.2388,1.403,5.1011,0.0714
67,01-DAPI-5-40x-198ms.tif,BL,0.0832,0.0832,81.5046,1.4172,6.7832,0.1179
68,01-DAPI-5-40x-198ms.tif,BL,0.0446,0.0446,93.7494,1.0316,4.1809,0.046
69,01-DAPI-5-40x-198ms.tif,BL,0.0234,0.0234,58.2731,1.1019,1.3658,0.0258
70,01-DAPI-5-40x-198ms.tif,BL,0.0483,0.0483,92.5663,0.973,4.4696,0.047
71,01-DAPI-5-40x-198ms.tif,BL,0.0702,0.0702,93.7883,1.204,6.5843,0.0845
72,01-DAPI-5-40x-198ms.tif,BL,0.0155,0.0155,115.9371,2.1678,1.7989,0.0336
73,01-DAPI-5-40x-198ms.tif,BL,0.0511,0.0511,79.7325,1.3185,4.0749,0.0674
74,01-DAPI-5-40x-198ms.tif,BL,0.0423,0.0423,77.4128,1.341,3.2759,0.0567
75,01-DAPI-5-40x-198ms.tif,BL,0.0235,0.0235,57.1106,1.53,1.3447,0.036
76,01-DAPI-5-40x-198ms.tif,BL,0.0373,0.0373,103.6483,1.8372,3.8688,0.0686
77,01-DAPI-5-40x-198ms.tif,BL,0.0213,0.0213,80.8469,2.3112,1.7194,0.0492
78,01-DAPI-5-40x-198ms.tif,BL,0.014,0.014,80.7132,2.2791,1.1298,0.0319
79,01-DAPI-5-40x-198ms.tif,BL,0.032,0.032,95.5932,2.339,3.0599,0.0749
80,01-DAPI-5-40x-198ms.tif,BL,0.0115,0.0115,73.1226,2.1226,0.841,0.0244
81,01-DAPI-5-40x-198ms.tif,BL,0.0162,0.0162,112.9597,2.2819,1.8263,0.0369
82,01-DAPI-5-40x-198ms.tif,BL,0.0522,0.0522,63.1726,1.894,3.2971,0.0988
83,01-DAPI-5-40x-198ms.tif,BL,0.0226,0.0226,87.5865,2.7356,1.9768,0.0617
84,01-DAPI-5-40x-198ms.tif,BL,0.0442,0.0442,90.371,1.8894,3.991,0.0834
85,01-DAPI-5-40x-198ms.tif,BL,0.0314,0.0314,76.3737,2.7993,2.395,0.0878
86,01-DAPI-5-40x-198ms.tif,BL,0.0283,0.0283,107.4636,2.3831,3.0434,0.0675
87,01-DAPI-5-40x-198ms.tif,BL,0.0237,0.0237,112.3899,3.1468,2.6585,0.0744
88,01-DAPI-5-40x-198ms.tif,BL,0.055,0.055,110.7712,1.8817,6.0939,0.1035
89,01-DAPI-5-40x-198ms.tif,BL,0.0501,0.0501,113.9091,2.6645,5.7103,0.1336
90,01-DAPI-5-40x-198ms.tif,BL,0.0332,0.0332,103.2647,1.6797,3.4287,0.0558
91,01-DAPI-5-40x-198ms.tif,BL,0.0386,0.0386,108.2753,1.5393,4.1825,0.0595
92,01-DAPI-5-40x-198ms.tif,BL,0.0329,0.0329,115.9769,2.0891,3.813,0.0687
93,01-DAPI-5-40x-198ms.tif,BL,0.0813,0.0813,115.8371,1.773,9.4143,0.1441
94,01-DAPI-5-40x-198ms.tif,BL,0.0363,0.0363,113.8388,1.8119,4.138,0.0659
95,01-DAPI-5-40x-198ms.tif,BL,0.0407,0.0407,105.6773,2.0587,4.3,0.0838
96,01-DAPI-5-40x-198ms.tif,BL,0.0567,0.0567,96.8795,1.9675,5.4978,0.1117
97,01-DAPI-5-40x-198ms.tif,BL,0.0395,0.0395,120.6868,2.3956,4.7667,0.0946
98,01-DAPI-5-40x-198ms.tif,BL,0.0347,0.0347,122.0844,2.2875,4.239,0.0794
99,01-DAPI-5-40x-198ms.tif,BL,0.0191,0.0191,66.9034,2.1364,1.2777,0.0408
100,01-DAPI-5-40x-198ms.tif,BL,0.0639,0.0639,92.7351,1.9593,5.9268,0.1252
101,01-DAPI-5-40x-198ms.tif,BL,0.0609,0.0609,74.3476,1.9394,4.5257,0.1181
102,01-DAPI-5-40x-198ms.tif,BL,0.0327,0.0327,66.8239,1.495,2.1825,0.0488
103,01-DAPI-5-40x-198ms.tif,BL,0.0386,0.0386,107.5646,1.3483,4.1551,0.0521
104,02-DAPI-5-40x-198ms.tif,BL,0.0379,0.0379,78.0974,1.1777,2.9575,0.0446
