 ,Image,Region,Area-B,Area-G,Mean-B,Mean-G,IntDen-B,IntDen-G
1,01-DAPI-1-40x-402ms.tif,NBL,0.0489,0.0489,93.0466,0.7605,4.5534,0.0372
2,01-DAPI-1-40x-402ms.tif,NBL,0.0154,0.0154,65.007,1.4577,1.0016,0.0225
3,01-DAPI-1-40x-402ms.tif,NBL,0.0182,0.0182,68.7024,1.375,1.2524,0.0251
4,01-DAPI-1-40x-402ms.tif,NBL,0.0296,0.0296,92.1722,1.5385,2.7304,0.0456
5,01-DAPI-1-40x-402ms.tif,NBL,0.0104,0.0104,109.4479,2.2708,1.1401,0.0237
6,01-DAPI-1-40x-402ms.tif,NBL,0.0214,0.0214,85.7157,2.6041,1.8322,0.0557
7,01-DAPI-1-40x-402ms.tif,NBL,0.0112,0.0112,92.3786,1.301,1.0324,0.0145
8,01-DAPI-1-40x-402ms.tif,NBL,0.0297,0.0297,67.9489,0.9015,2.0202,0.0268
9,01-DAPI-1-40x-402ms.tif,NBL,0.0055,0.0055,57.1373,3.0588,0.3162,0.0169
10,01-DAPI-1-40x-402ms.tif,NBL,0.0264,0.0264,35.3457,2.8683,0.932,0.0756
11,01-DAPI-1-40x-402ms.tif,NBL,0.0224,0.0224,75.7524,0.9175,1.6933,0.0205
12,01-DAPI-1-40x-402ms.tif,NBL,0.0224,0.0224,62.2573,2.1068,1.3916,0.0471
13,01-DAPI-1-40x-402ms.tif,NBL,0.0155,0.0155,89.049,0.951,1.3817,0.0148
14,01-DAPI-1-40x-402ms.tif,NBL,0.029,0.029,66.7491,1.5094,1.9338,0.0437
15,01-DAPI-1-40x-402ms.tif,NBL,0.016,0.016,47.585,1.5782,0.759,0.0252
16,01-DAPI-1-40x-402ms.tif,NBL,0.0468,0.0468,72.2042,1.181,3.3767,0.0552
17,01-DAPI-1-40x-402ms.tif,NBL,0.0588,0.0588,51.5351,0.893,3.0308,0.0525
18,01-DAPI-1-40x-402ms.tif,NBL,0.0405,0.0405,36.1367,0.5979,1.4626,0.0242
19,01-DAPI-1-40x-402ms.tif,NBL,0.0703,0.0703,53.1744,1.0108,3.7388,0.0711
20,01-DAPI-1-40x-402ms.tif,NBL,0.0765,0.0765,54.2908,0.8809,4.1531,0.0674
21,01-DAPI-1-40x-402ms.tif,NBL,0.0279,0.0279,52.6809,0.5447,1.4691,0.0152
22,01-DAPI-1-40x-402ms.tif,NBL,0.0936,0.0936,30.2746,0.5724,2.835,0.0536
23,01-DAPI-1-40x-402ms.tif,NBL,0.0645,0.0645,43.83,0.9478,2.825,0.0611
24,01-DAPI-1-40x-402ms.tif,NBL,0.0363,0.0363,56.1552,0.6806,2.0412,0.0247
25,01-DAPI-1-40x-402ms.tif,NBL,0.017,0.017,37.707,1.8854,0.6424,0.0321
26,01-DAPI-1-40x-402ms.tif,NBL,0.0512,0.0512,49.3347,0.8411,2.5267,0.0431
27,01-DAPI-1-40x-402ms.tif,NBL,0.0677,0.0677,31.1987,0.2965,2.1124,0.0201
28,01-DAPI-1-40x-402ms.tif,NBL,0.0544,0.0544,66.2794,0.5888,3.6031,0.032
29,01-DAPI-1-40x-402ms.tif,NBL,0.1868,0.1868,16.1556,0.2015,3.0187,0.0377
30,01-DAPI-1-40x-402ms.tif,NBL,0.0334,0.0334,49.3994,0.4221,1.6509,0.0141
31,01-DAPI-1-40x-402ms.tif,NBL,0.0672,0.0672,52.3716,0.5897,3.5176,0.0396
32,01-DAPI-1-40x-402ms.tif,NBL,0.1383,0.1383,25.7427,0.7224,3.5614,0.0999
33,01-DAPI-1-40x-402ms.tif,NBL,0.0584,0.0584,36.5911,0.8086,2.1361,0.0472
34,01-DAPI-1-40x-402ms.tif,NBL,0.0671,0.0671,33.8592,1.0761,2.2705,0.0722
35,01-DAPI-1-40x-402ms.tif,NBL,0.0519,0.0519,58.5732,0.9644,3.038,0.05
36,01-DAPI-1-40x-402ms.tif,NBL,0.0447,0.0447,39.0534,1.0971,1.7459,0.049
37,01-DAPI-1-40x-402ms.tif,NBL,0.0876,0.0876,32.6803,0.7646,2.8617,0.0669
38,01-DAPI-1-40x-402ms.tif,NBL,0.0613,0.0613,42.3929,0.9257,2.599,0.0567
39,01-DAPI-1-40x-402ms.tif,NBL,0.0312,0.0312,54.0139,0.7014,1.6879,0.0219
40,01-DAPI-1-40x-402ms.tif,NBL,0.0808,0.0808,32.2322,0.4188,2.6056,0.0339
41,01-DAPI-1-40x-402ms.tif,NBL,0.0378,0.0378,51.704,0.6868,1.9524,0.0259
42,01-DAPI-1-40x-402ms.tif,NBL,0.0834,0.0834,35.7009,0.8322,2.9789,0.0694
43,01-DAPI-1-40x-402ms.tif,NBL,0.0319,0.0319,58.5816,0.9014,1.8688,0.0288
44,01-DAPI-1-40x-402ms.tif,NBL,0.0727,0.0727,25.4269,0.4403,1.8485,0.032
45,01-DAPI-1-40x-402ms.tif,NBL,0.0443,0.0443,63.4069,0.7181,2.8071,0.0318
46,01-DAPI-1-40x-402ms.tif,NBL,0.0303,0.0303,53.8029,0.8638,1.6288,0.0262
47,01-DAPI-1-40x-402ms.tif,NBL,0.0496,0.0496,55.2188,0.8818,2.7382,0.0437
48,01-DAPI-1-40x-402ms.tif,NBL,0.135,0.135,31.1495,0.3794,4.2046,0.0512
49,01-DAPI-1-40x-402ms.tif,NBL,0.0715,0.0715,58.6874,0.4886,4.1965,0.0349
50,01-DAPI-1-40x-402ms.tif,NBL,0.1024,0.1024,60.1303,0.3475,6.1592,0.0356
51,01-DAPI-1-40x-402ms.tif,NBL,0.0737,0.0737,47.6112,0.2121,3.5078,0.0156
52,01-DAPI-1-40x-402ms.tif,NBL,0.0581,0.0581,67.6766,0.2822,3.9287,0.0164
53,01-DAPI-1-40x-402ms.tif,NBL,0.0686,0.0686,49.9446,1.7326,3.425,0.1188
54,01-DAPI-1-40x-402ms.tif,NBL,0.0596,0.0596,50.306,0.6503,2.9967,0.0387
55,01-DAPI-1-40x-402ms.tif,NBL,0.0825,0.0825,44.5118,0.1882,3.6707,0.0155
56,01-DAPI-1-40x-402ms.tif,NBL,0.0293,0.0293,67.7926,0.3815,1.9861,0.0112
57,01-DAPI-1-40x-402ms.tif,NBL,0.0305,0.0305,68.1103,0.7509,2.0767,0.0229
58,01-DAPI-1-40x-402ms.tif,NBL,0.057,0.057,78.899,0.7714,4.4946,0.0439
